Acfissa	AnidsolfT	PH	Solfiti	Alcohol	Grad
7.7	9.0	3.40	0.47	9.40	1.00
7.6	11.0	3.28	0.59	9.50	1.00
6.8	11.0	3.48	0.52	9.50	1.00
7.7	96.0	3.32	0.48	9.50	1.00
7.8	105.0	3.33	0.54	9.50	1.00
7.8	108.0	3.32	0.54	9.50	1.00
8.2	29.0	3.26	0.74	9.80	1.00
7.9	141.0	3.25	0.51	9.90	1.00
7.9	141.0	3.25	0.51	9.90	1.00
8.2	23.0	3.26	0.47	10.00	1.00
8.0	29.0	3.21	0.49	10.20	2.00
8.0	19.0	3.34	0.95	10.50	2.00
8.0	16.0	3.42	0.92	10.50	2.00
6.6	15.0	3.44	0.58	10.70	1.00
6.8	18.0	3.41	0.59	10.80	2.00
6.8	18.0	3.41	0.59	10.80	2.00
7.2	11.0	3.41	0.39	10.90	1.00
7.2	11.0	3.41	0.39	10.90	1.00
8.8	56.0	3.21	0.60	10.90	2.00
8.8	56.0	3.21	0.60	10.90	2.00
8.7	49.0	3.14	0.57	11.00	1.00
7.1	53.0	3.42	0.65	11.00	2.00
7.8	55.0	3.31	0.63	11.00	1.00
7.0	85.0	3.39	0.77	11.40	2.00
9.4	18.0	3.20	1.13	12.00	2.00
9.4	18.0	3.20	1.13	12.00	2.00
7.8	90.0	3.38	0.62	10.80	1.00
7.8	131.0	3.21	0.52	9.90	1.00
7.8	131.0	3.21	0.52	9.90	1.00
7.8	131.0	3.21	0.52	9.90	1.00
9.6	38.0	3.23	0.66	11.10	2.00
6.2	27.0	3.54	0.60	11.90	2.00
8.7	66.0	3.00	1.17	9.20	1.00
8.7	66.0	3.00	1.17	9.20	1.00
7.1	37.0	3.36	0.49	10.70	1.00
7.1	37.0	3.36	0.49	10.70	1.00
8.2	71.0	3.27	0.85	11.00	2.00
7.8	120.0	3.29	0.53	9.30	1.00
7.9	45.0	3.29	0.65	9.30	1.00
8.0	49.0	3.37	0.52	9.90	2.00
7.1	14.0	3.45	0.58	9.80	1.00
6.6	23.0	3.54	0.60	11.00	2.00
6.6	23.0	3.54	0.60	11.00	2.00
7.5	25.0	3.24	0.44	10.40	1.00
10.2	9.0	3.10	0.48	10.40	2.00
7.8	35.0	3.40	0.69	10.90	1.00
7.0	42.0	3.34	0.59	9.20	1.00
6.6	31.0	3.45	0.63	10.30	1.00
7.0	22.0	3.25	0.63	9.20	1.00
8.2	73.0	3.20	0.45	9.30	1.00
7.9	49.0	3.28	0.67	9.30	1.00
8.7	42.0	3.10	0.55	9.40	1.00
7.1	92.0	3.28	0.62	9.40	1.00
7.7	22.0	3.26	0.50	9.50	1.00
7.7	22.0	3.26	0.50	9.50	1.00
7.5	60.0	3.28	0.59	9.80	1.00
9.9	89.0	3.04	0.90	10.10	1.00
7.7	20.0	3.29	0.60	10.20	2.00
6.4	19.0	3.56	0.73	10.60	2.00
10.0	19.0	3.23	0.63	11.60	2.00
7.9	38.0	3.34	0.74	11.70	2.00
7.6	24.0	3.44	0.82	11.90	2.00
6.6	12.0	3.52	0.50	12.20	1.00
6.1	28.0	3.60	0.66	10.20	1.00
8.6	56.0	3.02	1.15	9.30	1.00
7.1	47.0	3.29	0.45	9.40	1.00
7.3	104.0	3.33	0.51	9.50	1.00
7.5	9.0	3.38	0.55	10.90	1.00
6.2	56.0	3.52	0.60	9.50	2.00
6.1	58.0	3.42	0.97	10.60	1.00
6.1	58.0	3.42	0.97	10.60	1.00
7.0	69.0	3.32	0.70	11.00	2.00
8.5	38.0	3.01	1.10	9.40	1.00
7.1	51.0	3.49	0.64	10.40	1.00
7.1	51.0	3.49	0.64	10.40	1.00
7.5	31.0	3.38	0.58	10.00	2.00
7.0	10.0	3.35	0.60	9.70	2.00
7.7	147.0	3.26	0.59	9.70	1.00
7.7	147.0	3.26	0.59	9.70	1.00
6.6	20.0	3.53	0.56	9.90	1.00
7.0	23.0	3.53	0.61	10.40	1.00
7.3	60.0	3.31	0.54	9.80	1.00
8.2	60.0	3.29	0.75	10.90	2.00
8.2	60.0	3.29	0.75	10.90	2.00
9.9	41.0	3.18	0.69	11.90	2.00
10.5	23.0	3.23	0.76	12.00	2.00
7.7	13.0	3.38	0.56	10.80	1.00
9.4	10.0	3.27	0.64	12.20	2.00
7.6	84.0	3.21	0.61	9.30	1.00
7.9	59.0	3.30	0.46	9.40	1.00
7.8	58.0	3.34	0.59	9.40	2.00
7.9	140.0	3.23	0.54	9.50	1.00
7.8	47.0	3.19	0.93	9.50	1.00
7.8	47.0	3.19	0.93	9.50	1.00
7.5	63.0	3.00	1.59	9.50	1.00
8.9	81.0	3.04	1.61	9.50	2.00
7.9	102.0	3.27	0.58	9.50	1.00
7.6	28.0	3.28	0.55	9.70	1.00
7.6	28.0	3.28	0.55	9.70	1.00
7.8	16.0	3.38	0.59	9.80	2.00
8.4	108.0	3.15	0.66	9.80	1.00
8.4	111.0	3.15	0.66	9.80	1.00
7.8	31.0	3.33	0.56	10.00	2.00
6.9	16.0	3.41	0.60	10.10	2.00
7.7	23.0	3.35	0.65	10.20	2.00
7.6	43.0	3.32	0.57	10.50	2.00
8.2	12.0	3.53	0.49	10.90	1.00
8.1	12.0	3.54	0.48	10.90	1.00
7.2	78.0	3.39	0.71	11.00	1.00
8.4	79.0	3.30	0.72	11.00	2.00
8.4	79.0	3.30	0.72	11.00	2.00
8.7	28.0	3.33	0.67	11.20	2.00
9.4	17.0	3.15	0.92	11.70	2.00
7.2	108.0	3.25	0.51	9.40	1.00
7.8	64.0	3.16	0.53	9.40	1.00
11.3	8.0	3.20	0.53	11.90	2.00
11.3	8.0	3.20	0.53	11.90	2.00
10.1	13.0	3.22	0.65	11.60	2.00
7.4	72.0	3.39	0.68	11.00	1.00
6.2	32.0	3.56	0.63	11.60	2.00
6.0	26.0	3.46	0.47	10.00	1.00
7.4	20.0	3.32	0.63	10.50	1.00
8.5	23.0	3.36	0.67	10.40	1.00
6.7	32.0	3.52	0.57	11.00	1.00
7.3	67.0	3.60	0.59	11.10	2.00
9.7	16.0	3.27	0.74	12.30	2.00
7.6	20.0	3.17	1.08	9.20	1.00
7.5	58.0	3.34	0.58	9.40	1.00
7.1	127.0	2.94	1.62	9.50	1.00
8.4	63.0	3.19	0.82	9.60	1.00
8.4	63.0	3.19	0.82	9.60	1.00
7.5	29.0	3.32	0.60	10.00	2.00
6.8	23.0	3.45	0.56	10.70	1.00
7.9	61.0	3.36	0.67	10.70	2.00
7.9	61.0	3.36	0.67	10.70	2.00
7.5	44.0	3.38	0.59	10.70	2.00
8.3	16.0	3.45	0.68	11.50	2.00
6.8	38.0	3.42	0.82	9.50	2.00
9.1	64.0	2.90	1.33	9.10	2.00
8.0	63.0	3.29	0.48	9.80	1.00
9.3	55.0	3.47	0.73	10.90	2.00
9.3	55.0	3.47	0.73	10.90	2.00
9.3	55.0	3.47	0.73	10.90	2.00
9.1	20.0	3.28	0.57	12.50	2.00
6.6	16.0	3.38	0.69	9.50	1.00
9.0	73.0	3.34	0.57	10.00	1.00
7.6	55.0	3.39	0.51	9.30	1.00
7.8	144.0	3.30	0.60	9.50	1.00
7.4	34.0	3.49	0.68	10.50	1.00
7.4	34.0	3.49	0.68	10.50	1.00
6.6	17.0	3.35	0.49	10.80	2.00
6.6	17.0	3.35	0.49	10.80	2.00
7.8	32.0	3.09	1.06	9.10	2.00
8.1	31.0	3.25	0.50	9.80	1.00
8.1	31.0	3.25	0.50	9.80	1.00
8.0	74.0	3.27	0.50	9.80	2.00
7.6	44.0	3.38	0.79	11.10	2.00
8.8	13.0	3.30	0.62	12.10	2.00
7.8	17.0	3.26	0.64	9.40	2.00
9.6	13.0	3.15	0.75	10.50	2.00
7.1	77.0	3.27	0.64	9.30	1.00
7.8	95.0	3.22	0.67	9.40	1.00
7.6	54.0	3.36	0.52	9.40	1.00
6.2	18.0	3.56	0.84	9.40	1.00
7.9	37.0	3.17	0.91	9.50	1.00
7.9	37.0	3.17	0.91	9.50	1.00
7.7	31.0	3.39	0.64	9.60	1.00
7.7	31.0	3.39	0.64	9.60	1.00
7.3	19.0	3.39	0.47	9.60	1.00
8.3	113.0	3.17	0.66	9.80	1.00
7.0	54.0	3.39	0.57	9.80	1.00
9.3	20.0	3.12	0.59	9.90	1.00
8.7	25.0	3.36	0.76	10.10	2.00
7.0	28.0	3.52	0.62	10.20	2.00
9.4	62.0	3.07	0.63	10.50	2.00
7.4	37.0	3.37	0.51	10.50	1.00
6.9	37.0	3.46	0.57	10.60	2.00
6.8	30.0	3.52	0.55	10.70	2.00
7.4	14.0	3.63	0.54	10.70	1.00
7.3	106.0	3.36	0.78	11.00	1.00
7.3	106.0	3.36	0.78	11.00	1.00
10.0	31.0	3.15	0.57	11.00	1.00
7.2	113.0	3.32	0.79	11.10	1.00
6.4	48.0	3.47	0.77	9.70	2.00
7.7	89.0	3.24	0.45	9.30	1.00
6.2	13.0	3.59	0.61	10.00	1.00
10.4	10.0	3.12	0.65	11.80	2.00
6.6	27.0	3.44	0.58	10.20	1.00
8.6	18.0	3.20	0.52	9.40	1.00
8.6	18.0	3.20	0.52	9.40	1.00
7.4	49.0	3.40	0.76	10.90	2.00
9.2	12.0	3.20	0.67	10.50	2.00
7.8	67.0	3.26	0.46	9.20	1.00
8.0	85.0	3.19	0.42	9.20	1.00
6.9	51.0	3.47	0.55	9.50	2.00
7.9	32.0	3.39	0.54	9.60	1.00
6.4	73.0	3.32	0.48	9.20	1.00
6.7	22.0	3.46	0.61	10.20	1.00
7.9	25.0	3.32	0.87	8.70	2.00
8.1	41.0	3.36	0.55	9.10	1.00
8.1	65.0	3.29	0.51	9.20	1.00
8.1	65.0	3.29	0.51	9.20	1.00
7.2	34.0	3.29	0.48	9.20	2.00
7.3	102.0	3.26	0.59	9.30	1.00
7.7	27.0	3.32	0.54	9.50	2.00
7.6	10.0	3.39	0.56	9.80	1.00
8.5	30.0	3.20	0.48	9.80	2.00
8.6	27.0	3.20	0.56	10.20	2.00
7.5	53.0	3.37	0.70	10.30	2.00
9.1	46.0	3.32	1.04	10.60	2.00
8.3	14.0	3.32	0.58	11.00	1.00
7.3	56.0	3.35	0.56	9.20	1.00
7.5	12.0	3.34	0.49	9.70	1.00
7.0	20.0	3.61	0.82	10.00	2.00
8.2	51.0	3.53	0.81	10.40	2.00
10.1	28.0	3.24	0.83	11.20	2.00
10.7	29.0	3.12	0.65	11.20	2.00
10.0	8.0	3.33	0.62	12.20	2.00
7.2	38.0	3.37	0.58	9.00	2.00
7.2	38.0	3.37	0.58	9.00	2.00
7.2	38.0	3.37	0.58	9.00	2.00
7.2	39.0	3.37	0.58	9.20	2.00
8.0	119.0	3.26	0.57	9.30	1.00
7.0	45.0	3.31	0.60	9.40	2.00
9.9	47.0	3.26	0.82	10.60	2.00
10.6	20.0	3.14	0.72	11.10	2.00
7.9	79.0	3.29	0.69	9.50	2.00
5.6	92.0	3.39	0.48	10.50	2.00
8.1	89.0	3.26	0.46	9.60	2.00
6.6	56.0	3.49	0.67	9.20	1.00
8.1	56.0	3.11	1.28	9.30	1.00
7.7	112.0	3.21	0.71	9.30	1.00
7.6	88.0	3.11	0.80	9.30	1.00
6.8	86.0	3.59	0.57	9.30	2.00
8.9	60.0	3.39	0.53	9.40	2.00
8.5	67.0	3.17	0.53	9.40	1.00
8.0	134.0	3.24	0.66	9.40	1.00
8.1	141.0	3.17	0.62	9.40	1.00
7.8	120.0	3.25	0.54	9.40	1.00
7.7	45.0	3.06	1.26	9.40	1.00
7.8	18.0	3.36	0.57	9.50	2.00
7.5	35.0	3.38	0.62	9.50	2.00
8.3	52.0	3.23	0.77	9.50	1.00
8.3	52.0	3.23	0.77	9.50	1.00
7.9	143.0	3.20	0.55	9.50	1.00
7.9	144.0	3.20	0.55	9.50	1.00
7.4	30.0	3.41	0.53	9.50	2.00
8.2	13.0	3.20	0.52	9.50	1.00
8.2	13.0	3.20	0.52	9.50	1.00
7.2	75.0	3.40	0.58	9.50	2.00
7.5	39.0	3.42	0.58	9.60	1.00
6.9	40.0	3.43	0.63	9.70	2.00
8.1	30.0	3.23	0.73	9.70	2.00
7.8	67.0	3.20	0.68	9.80	1.00
6.8	35.0	3.44	0.63	10.00	2.00
7.6	49.0	3.21	0.57	10.00	1.00
7.6	48.0	3.21	0.59	10.00	1.00
7.3	55.0	3.46	0.59	10.20	1.00
11.8	10.0	3.20	0.72	10.20	2.00
8.1	23.0	3.30	1.20	10.30	1.00
7.5	14.0	3.21	0.90	10.50	2.00
6.4	31.0	3.50	0.67	11.00	1.00
9.3	16.0	3.22	0.72	11.20	1.00
10.2	26.0	3.16	0.78	12.50	2.00
8.4	18.0	3.26	0.57	9.90	2.00
7.1	16.0	3.24	0.53	10.30	1.00
6.9	54.0	3.40	0.73	9.70	1.00
10.1	17.0	3.17	0.65	10.60	2.00
7.2	18.0	3.37	0.68	11.20	2.00
8.2	37.0	3.32	0.55	9.00	2.00
8.2	37.0	3.32	0.55	9.00	2.00
7.1	51.0	3.38	0.52	9.50	1.00
7.2	70.0	3.42	0.59	9.50	2.00
7.2	70.0	3.42	0.59	9.50	2.00
8.0	62.0	3.35	0.56	10.00	2.00
6.9	37.0	3.46	0.50	11.00	1.00
6.9	37.0	3.46	0.50	11.00	1.00
7.9	94.0	3.21	0.58	9.50	2.00
7.9	94.0	3.21	0.58	9.50	2.00
11.7	32.0	3.15	0.67	10.60	2.00
8.0	81.0	3.24	0.54	9.50	2.00
8.0	81.0	3.24	0.54	9.50	2.00
6.4	31.0	3.59	0.66	9.80	1.00
6.4	31.0	3.59	0.66	9.80	1.00
6.4	31.0	3.59	0.66	9.80	1.00
6.4	32.0	3.58	0.66	9.80	1.00
7.9	56.0	3.04	1.08	9.20	2.00
6.2	64.0	3.46	0.79	9.30	1.00
8.1	153.0	3.21	0.69	9.30	1.00
7.1	22.0	3.48	0.50	9.30	1.00
7.3	51.0	3.16	1.14	9.40	1.00
8.7	37.0	3.25	0.58	9.50	1.00
8.8	42.0	3.19	0.59	9.50	1.00
8.8	42.0	3.19	0.59	9.50	1.00
6.8	126.0	3.28	0.61	9.50	1.00
7.3	79.0	3.41	0.65	9.50	2.00
7.0	20.0	3.48	0.56	9.60	1.00
9.2	103.0	2.87	1.36	10.20	2.00
7.6	57.0	3.37	0.46	10.30	1.00
7.6	57.0	3.37	0.46	10.30	1.00
12.2	6.0	3.13	0.63	10.40	1.00
12.2	6.0	3.13	0.63	10.40	1.00
8.5	103.0	3.30	0.75	10.50	2.00
9.3	65.0	3.28	0.79	10.70	1.00
9.0	21.0	3.29	0.67	10.00	1.00
9.0	21.0	3.29	0.67	10.00	1.00
8.9	39.0	3.33	0.83	11.10	2.00
8.9	39.0	3.33	0.83	11.10	2.00
7.1	70.0	3.44	0.50	9.40	1.00
7.6	15.0	3.22	0.55	10.30	2.00
8.8	23.0	3.32	0.47	9.40	1.00
7.1	68.0	3.45	0.48	9.40	1.00
7.1	68.0	3.45	0.48	9.40	1.00
9.6	24.0	3.22	0.82	10.30	2.00
7.7	41.0	3.39	0.62	10.10	2.00
8.9	10.0	3.12	0.59	9.50	2.00
9.2	38.0	3.24	0.56	10.90	1.00
7.4	73.0	3.36	0.57	9.10	1.00
8.4	95.0	3.16	0.54	9.10	1.00
7.1	40.0	3.44	0.60	9.10	1.00
7.7	114.0	3.25	0.73	9.20	1.00
6.7	62.0	3.52	0.58	9.30	2.00
8.6	119.0	3.20	0.56	9.40	1.00
7.8	28.0	3.37	0.50	9.40	2.00
7.0	23.0	3.47	0.67	9.40	2.00
7.2	72.0	3.44	0.52	9.40	1.00
7.2	72.0	3.44	0.52	9.40	1.00
6.4	11.0	3.46	0.68	9.50	1.00
6.4	11.0	3.46	0.68	9.50	1.00
7.8	54.0	3.26	0.65	9.80	1.00
8.9	57.0	3.18	1.36	10.30	2.00
8.0	52.0	3.31	0.62	10.80	1.00
7.1	13.0	3.41	0.57	11.00	1.00
10.4	16.0	3.19	0.70	11.30	2.00
8.1	15.0	3.37	0.56	11.30	1.00
8.1	15.0	3.37	0.56	11.30	1.00
9.6	52.0	3.20	0.71	11.40	2.00
10.5	29.0	3.24	0.75	11.70	2.00
10.6	20.0	3.26	0.66	11.70	2.00
11.0	25.0	3.18	0.61	11.80	1.00
10.6	24.0	3.06	0.66	13.40	2.00
6.8	39.0	3.40	0.74	9.70	1.00
8.8	19.0	3.31	0.53	10.00	2.00
7.4	12.0	3.26	0.86	9.20	1.00
8.5	45.0	3.03	1.34	9.20	1.00
9.3	14.0	3.27	0.78	10.90	2.00
10.0	14.0	3.21	0.49	11.80	2.00
11.6	28.0	3.07	0.65	9.50	2.00
11.6	28.0	3.07	0.65	10.10	2.00
9.3	17.0	3.27	0.77	10.80	2.00
7.3	49.0	3.31	0.55	9.70	1.00
7.6	85.0	3.41	0.58	9.00	1.00
7.6	85.0	3.41	0.58	9.00	1.00
9.3	22.0	3.28	0.55	9.50	1.00
9.3	22.0	3.28	0.55	9.50	1.00
7.4	82.0	3.33	0.68	9.70	2.00
10.6	68.0	3.23	0.72	10.90	2.00
9.9	60.0	2.94	0.98	10.20	1.00
7.6	53.0	3.36	0.57	9.10	1.00
8.8	23.0	3.15	0.74	9.20	1.00
6.8	65.0	3.54	0.58	9.30	1.00
8.9	62.0	3.00	1.09	9.30	1.00
7.6	66.0	3.45	0.59	9.50	2.00
7.8	42.0	3.18	0.62	9.50	1.00
10.2	10.0	3.04	0.63	9.60	1.00
7.7	46.0	3.24	0.66	9.60	2.00
8.9	85.0	3.26	0.53	9.70	1.00
7.6	60.0	3.31	0.61	10.10	2.00
9.9	14.0	3.26	0.79	10.60	1.00
9.9	52.0	3.19	0.76	11.60	2.00
7.7	60.0	3.41	0.71	12.10	2.00
6.9	30.0	3.40	0.75	9.80	1.00
6.9	30.0	3.40	0.75	9.80	1.00
7.1	27.0	3.44	0.67	9.80	1.00
9.5	28.0	3.25	0.62	10.00	1.00
7.4	98.0	3.16	0.52	9.60	2.00
7.4	98.0	3.16	0.52	11.30	2.00
7.2	60.0	3.46	0.78	9.90	1.00
7.9	59.0	3.31	0.67	10.10	2.00
7.6	65.0	3.46	0.62	9.50	2.00
7.6	65.0	3.46	0.62	9.50	2.00
8.0	84.0	3.39	0.61	9.00	1.00
7.6	66.0	3.40	0.64	9.50	1.00
7.6	66.0	3.40	0.64	9.50	1.00
6.6	49.0	3.35	0.68	10.30	1.00
7.2	9.0	3.33	0.57	10.30	1.00
8.1	35.0	3.30	0.59	9.00	2.00
8.1	35.0	3.30	0.59	9.00	2.00
8.1	129.0	3.08	0.53	9.00	1.00
8.3	119.0	3.16	1.12	9.10	1.00
7.9	8.0	3.36	0.33	9.10	1.00
7.2	45.0	3.48	0.64	9.20	1.00
8.0	18.0	3.29	0.61	9.20	2.00
8.0	18.0	3.29	0.61	9.20	2.00
7.4	67.0	3.34	0.55	9.20	1.00
6.5	18.0	3.46	0.65	9.20	1.00
8.9	110.0	3.12	1.02	9.30	1.00
7.2	42.0	3.44	0.52	9.30	1.00
7.1	35.0	3.47	0.55	9.40	1.00
7.0	25.0	3.47	0.67	9.50	2.00
7.0	25.0	3.47	0.67	9.50	2.00
7.0	25.0	3.47	0.67	9.50	2.00
8.3	42.0	3.31	0.54	9.60	2.00
7.2	27.0	3.36	0.70	9.60	2.00
10.8	49.0	3.13	0.54	9.60	1.00
7.5	84.0	3.32	0.70	9.60	1.00
8.6	133.0	2.93	1.98	9.80	1.00
8.6	136.0	2.93	1.95	9.90	2.00
8.6	136.0	2.93	1.95	9.90	2.00
7.1	34.0	3.47	0.70	9.90	2.00
7.1	34.0	3.47	0.70	9.90	2.00
7.7	10.0	3.25	1.08	9.90	2.00
7.3	20.0	3.40	0.63	10.10	1.00
8.3	50.0	3.40	0.61	10.20	2.00
7.5	38.0	3.58	0.61	10.50	2.00
8.1	13.0	3.37	0.77	10.70	2.00
8.0	37.0	3.31	0.58	10.70	2.00
10.7	16.0	3.15	0.65	11.00	2.00
10.7	16.0	3.15	0.65	11.00	2.00
10.6	18.0	3.21	0.87	11.30	2.00
10.9	32.0	3.22	0.68	11.70	2.00
9.5	67.0	3.28	0.73	11.80	2.00
5.9	160.0	3.33	0.54	10.30	2.00
9.6	55.0	3.18	0.68	10.90	1.00
8.3	54.0	3.36	0.54	10.10	1.00
6.4	64.0	3.41	0.68	10.40	2.00
10.4	10.0	3.33	0.87	10.90	2.00
10.4	10.0	3.33	0.87	10.90	2.00
6.9	105.0	3.25	1.18	10.50	2.00
9.8	66.0	3.15	0.58	9.80	1.00
7.9	45.0	3.31	0.91	9.50	2.00
7.3	54.0	3.30	0.65	10.00	2.00
7.3	54.0	3.30	0.65	10.00	2.00
10.2	37.0	3.16	0.67	10.80	1.00
9.8	65.0	3.16	0.59	9.80	1.00
8.4	90.0	3.20	0.52	9.20	1.00
7.8	69.0	3.08	1.31	9.30	1.00
8.0	114.0	3.22	0.54	9.40	2.00
8.2	81.0	3.19	0.70	9.40	1.00
7.9	44.0	3.30	0.92	9.50	2.00
7.2	20.0	3.32	0.81	9.60	2.00
7.2	20.0	3.32	0.81	9.60	2.00
6.7	36.0	3.61	0.64	9.80	1.00
6.7	36.0	3.61	0.64	9.80	1.00
11.1	15.0	3.22	0.64	10.10	2.00
7.1	129.0	3.42	0.72	10.50	1.00
7.1	128.0	3.42	0.71	10.50	1.00
7.1	129.0	3.42	0.72	10.50	1.00
7.1	128.0	3.42	0.71	10.50	1.00
10.5	15.0	3.09	0.66	11.80	2.00
10.5	15.0	3.09	0.66	11.80	2.00
9.4	20.0	3.34	0.79	12.20	2.00
7.9	37.0	3.35	0.86	12.80	2.00
6.5	37.0	3.66	0.65	9.80	1.00
6.5	37.0	3.66	0.65	9.80	1.00
7.8	17.0	3.33	0.78	11.00	2.00
8.5	113.0	3.13	0.48	9.20	1.00
8.7	69.0	3.26	0.63	10.20	2.00
11.3	47.0	3.15	0.57	10.50	1.00
10.9	44.0	3.28	0.77	11.50	2.00
10.9	44.0	3.28	0.77	11.50	2.00
7.8	18.0	3.29	0.63	9.30	1.00
8.4	38.0	3.31	0.64	9.40	1.00
11.6	41.0	3.02	0.76	9.90	2.00
11.6	41.0	3.02	0.76	9.90	2.00
8.6	17.0	3.23	0.44	10.00	1.00
8.0	32.0	3.36	0.61	10.00	1.00
8.4	75.0	3.20	0.59	9.20	1.00
7.4	98.0	3.28	0.50	9.50	1.00
7.4	33.0	3.58	0.69	10.80	2.00
7.4	33.0	3.58	0.69	10.80	2.00
11.1	34.0	3.24	0.77	12.10	2.00
8.8	74.0	3.14	0.54	9.40	1.00
9.3	35.0	3.25	0.42	9.60	1.00
9.3	35.0	3.25	0.42	9.60	1.00
8.5	9.0	3.38	0.66	11.60	2.00
8.9	48.0	3.20	0.47	9.70	2.00
7.4	29.0	3.38	0.50	9.00	1.00
7.8	29.0	3.26	1.56	9.10	1.00
7.7	27.0	3.26	0.61	9.10	1.00
7.8	66.0	3.25	0.56	9.20	1.00
7.7	19.0	3.27	0.73	9.30	1.00
7.8	67.0	3.13	1.28	9.40	1.00
8.3	27.0	3.21	0.80	9.40	2.00
8.3	27.0	3.21	0.80	9.40	2.00
8.3	27.0	3.21	0.80	9.40	2.00
9.9	33.0	3.09	0.57	9.40	1.00
9.9	33.0	3.09	0.57	9.40	1.00
10.0	32.0	3.13	0.55	9.50	1.00
8.3	23.0	3.26	0.70	9.60	2.00
8.3	23.0	3.26	0.70	9.60	2.00
6.4	49.0	3.57	0.62	9.80	2.00
7.8	41.0	3.24	0.71	9.80	2.00
10.1	13.0	3.04	0.79	10.20	2.00
7.8	58.0	3.31	0.64	10.30	1.00
7.0	121.0	3.34	0.76	10.50	1.00
8.2	22.0	3.22	0.94	10.90	2.00
8.2	22.0	3.22	0.94	10.90	2.00
7.9	45.0	3.49	0.96	12.10	2.00
7.2	86.0	3.53	0.57	9.70	1.00
7.2	86.0	3.53	0.57	9.70	1.00
7.1	94.0	3.55	0.53	9.70	2.00
7.1	94.0	3.55	0.53	9.70	2.00
7.2	88.0	3.53	0.55	9.50	1.00
7.2	88.0	3.53	0.55	9.50	1.00
8.6	12.0	3.31	0.65	9.55	2.00
8.7	11.0	3.31	0.65	9.55	1.00
7.1	87.0	3.48	0.60	9.70	2.00
7.1	92.0	3.50	0.60	9.80	1.00
7.2	88.0	3.53	0.58	9.80	2.00
8.4	55.0	3.31	0.57	10.40	1.00
10.2	24.0	3.29	0.99	12.00	2.00
7.2	85.0	3.51	0.54	9.50	1.00
7.2	85.0	3.51	0.54	9.50	1.00
8.7	64.0	3.10	0.74	9.60	1.00
7.2	84.0	3.51	0.53	9.70	1.00
7.1	85.0	3.55	0.59	9.80	1.00
6.6	25.0	3.69	0.73	10.50	1.00
6.6	25.0	3.69	0.73	10.50	1.00
8.2	77.0	3.13	0.62	9.10	2.00
8.2	77.0	3.13	0.62	9.10	2.00
7.2	86.0	3.51	0.54	9.70	1.00
7.4	38.0	3.48	0.65	9.80	1.00
7.4	38.0	3.48	0.65	9.80	1.00
8.8	145.0	3.04	1.03	9.30	1.00
7.7	14.0	3.30	0.52	9.30	1.00
9.0	25.0	3.27	0.61	9.40	2.00
6.9	63.0	3.57	0.78	9.90	1.00
7.8	54.0	3.43	0.59	10.00	1.00
8.2	43.0	3.53	0.61	10.50	2.00
7.8	15.0	3.42	0.60	10.80	2.00
9.9	52.0	3.35	0.94	10.00	1.00
10.2	54.0	3.38	0.86	10.50	2.00
7.4	32.0	3.58	0.67	10.20	1.00
11.1	19.0	3.25	0.57	10.40	2.00
8.3	43.0	3.31	0.53	9.20	1.00
8.8	46.0	3.26	0.51	9.30	1.00
8.7	31.0	3.27	0.60	9.30	2.00
8.7	31.0	3.27	0.60	9.30	2.00
8.2	127.0	3.23	0.62	9.40	1.00
8.6	135.0	3.30	0.53	9.40	1.00
8.3	112.0	3.27	0.61	9.40	1.00
8.2	104.0	3.28	0.62	9.40	1.00
8.1	17.0	3.30	1.05	9.40	1.00
8.0	48.0	3.34	0.46	9.40	1.00
8.0	48.0	3.34	0.46	9.40	1.00
8.0	34.0	3.44	0.53	9.50	1.00
9.2	116.0	3.23	0.64	9.50	1.00
7.1	45.0	3.46	0.54	9.50	1.00
8.0	80.0	3.37	0.80	9.60	2.00
8.4	22.0	3.22	0.44	9.60	1.00
8.4	22.0	3.22	0.44	9.60	1.00
9.1	48.0	3.18	0.51	9.60	1.00
7.7	26.0	3.39	0.49	9.70	1.00
10.6	40.0	3.14	0.51	9.80	2.00
6.8	52.0	3.62	0.68	9.90	1.00
12.0	21.0	2.98	0.66	9.90	2.00
10.2	17.0	3.17	0.47	10.00	1.00
10.2	17.0	3.17	0.47	10.00	1.00
9.0	13.0	3.29	0.55	10.40	1.00
10.2	13.0	3.05	0.74	10.50	2.00
8.7	49.0	3.34	0.86	10.60	2.00
8.7	49.0	3.34	0.86	10.60	2.00
10.5	22.0	3.21	1.05	10.80	2.00
10.4	21.0	3.25	1.02	10.80	2.00
10.5	24.0	3.18	1.04	10.90	2.00
9.2	23.0	3.35	0.61	11.30	2.00
9.4	30.0	3.12	0.54	12.00	2.00
10.3	13.0	3.23	0.82	12.60	2.00
15.9	71.0	2.98	0.84	14.90	1.00
7.2	31.0	3.52	0.72	9.60	2.00
8.2	86.0	3.34	0.64	9.50	2.00
7.3	28.0	3.41	0.60	9.40	1.00
7.1	27.0	3.44	0.54	9.40	1.00
7.3	28.0	3.52	0.73	9.50	2.00
7.3	28.0	3.52	0.73	9.50	2.00
9.0	21.0	3.27	0.72	9.60	1.00
9.1	67.0	3.44	0.86	10.20	2.00
6.6	79.0	3.29	0.54	9.20	1.00
7.4	39.0	3.50	0.70	9.90	2.00
9.1	10.0	3.18	0.63	10.40	2.00
